Epoch 0: train_loss=0.8008, train_acc=82.0201, val_loss=0.4305, val_acc=86.8239
Epoch 1: train_loss=0.1200, train_acc=97.2926, val_loss=0.2463, val_acc=95.0069
Epoch 2: train_loss=0.0897, train_acc=98.4380, val_loss=0.0145, val_acc=99.4452
Epoch 3: train_loss=0.0495, train_acc=99.8264, val_loss=0.0021, val_acc=100.0000
Epoch 4: train_loss=0.0328, train_acc=99.7917, val_loss=0.0014, val_acc=100.0000
Epoch 5: train_loss=0.0921, train_acc=98.2992, val_loss=0.0988, val_acc=96.3939
Epoch 6: train_loss=0.0727, train_acc=98.7851, val_loss=0.2896, val_acc=90.0139
Epoch 7: train_loss=0.0864, train_acc=98.4728, val_loss=0.5640, val_acc=90.2913
Epoch 8: train_loss=0.0784, train_acc=98.7851, val_loss=0.0683, val_acc=97.3648
Epoch 9: train_loss=0.0410, train_acc=99.4446, val_loss=0.0005, val_acc=100.0000
Epoch 10: train_loss=0.0734, train_acc=99.2711, val_loss=0.0435, val_acc=99.3065
Epoch 11: train_loss=0.0548, train_acc=99.3752, val_loss=0.0935, val_acc=97.6422
Epoch 12: train_loss=0.0642, train_acc=99.9306, val_loss=0.0001, val_acc=100.0000
Epoch 13: train_loss=0.0421, train_acc=99.7570, val_loss=0.0009, val_acc=100.0000
Epoch 14: train_loss=0.0565, train_acc=99.4793, val_loss=0.0036, val_acc=100.0000
Epoch 15: train_loss=0.0211, train_acc=99.6182, val_loss=0.0091, val_acc=99.7226
Epoch 16: train_loss=0.0615, train_acc=99.7570, val_loss=0.0157, val_acc=99.3065
Epoch 17: train_loss=0.0600, train_acc=99.5141, val_loss=0.0028, val_acc=100.0000
Epoch 18: train_loss=0.0629, train_acc=99.4793, val_loss=0.0162, val_acc=99.3065
Epoch 19: train_loss=0.0588, train_acc=99.7917, val_loss=0.0003, val_acc=100.0000
Epoch 20: train_loss=0.0548, train_acc=99.8959, val_loss=0.0003, val_acc=100.0000
Epoch 21: train_loss=0.0327, train_acc=99.9306, val_loss=0.0001, val_acc=100.0000
Epoch 22: train_loss=0.0433, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 23: train_loss=0.0264, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 24: train_loss=0.0337, train_acc=99.9653, val_loss=0.0001, val_acc=100.0000
Epoch 25: train_loss=0.0416, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 26: train_loss=0.0294, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 27: train_loss=0.0203, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 28: train_loss=0.0240, train_acc=99.9306, val_loss=0.0000, val_acc=100.0000
Epoch 29: train_loss=0.0331, train_acc=99.9306, val_loss=0.0000, val_acc=100.0000
Epoch 30: train_loss=0.0116, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 31: train_loss=0.0358, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 32: train_loss=0.0226, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 33: train_loss=0.0197, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 34: train_loss=0.0113, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 35: train_loss=0.0314, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 36: train_loss=0.0252, train_acc=99.9306, val_loss=0.0000, val_acc=100.0000
Epoch 37: train_loss=0.0247, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 38: train_loss=0.0230, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 39: train_loss=0.0388, train_acc=99.9306, val_loss=0.0000, val_acc=100.0000
Epoch 40: train_loss=0.0405, train_acc=99.9306, val_loss=0.0000, val_acc=100.0000
Epoch 41: train_loss=0.0134, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 42: train_loss=0.0357, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 43: train_loss=0.0205, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 44: train_loss=0.0203, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 45: train_loss=0.0213, train_acc=99.9306, val_loss=0.0000, val_acc=100.0000
Epoch 46: train_loss=0.0142, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 47: train_loss=0.0094, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 48: train_loss=0.0201, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 49: train_loss=0.0402, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 50: train_loss=0.0167, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 51: train_loss=0.0126, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 52: train_loss=0.0103, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 53: train_loss=0.0300, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 54: train_loss=0.0157, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 55: train_loss=0.0390, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 56: train_loss=0.0184, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 57: train_loss=0.0244, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 58: train_loss=0.0116, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 59: train_loss=0.0052, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 60: train_loss=0.0146, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 61: train_loss=0.0186, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 62: train_loss=0.0343, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 63: train_loss=0.0292, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 64: train_loss=0.0201, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 65: train_loss=0.0125, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 66: train_loss=0.0162, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 67: train_loss=0.0244, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 68: train_loss=0.0419, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 69: train_loss=0.0051, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 70: train_loss=0.0219, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 71: train_loss=0.0165, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 72: train_loss=0.0400, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 73: train_loss=0.0219, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 74: train_loss=0.0211, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 75: train_loss=0.0283, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 76: train_loss=0.0430, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 77: train_loss=0.0321, train_acc=99.9306, val_loss=0.0000, val_acc=100.0000
Epoch 78: train_loss=0.0196, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 79: train_loss=0.0444, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 80: train_loss=0.0214, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 81: train_loss=0.0251, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 82: train_loss=0.0206, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 83: train_loss=0.0319, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 84: train_loss=0.0101, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 85: train_loss=0.0135, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 86: train_loss=0.0234, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 87: train_loss=0.0360, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 88: train_loss=0.0050, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 89: train_loss=0.0311, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 90: train_loss=0.0233, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 91: train_loss=0.0207, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 92: train_loss=0.0226, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 93: train_loss=0.0086, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 94: train_loss=0.0279, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 95: train_loss=0.0264, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 96: train_loss=0.0082, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 97: train_loss=0.0160, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 98: train_loss=0.0421, train_acc=99.9653, val_loss=0.0000, val_acc=100.0000
Epoch 99: train_loss=0.0157, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 0: train_loss=0.7740, train_acc=83.4085, val_loss=0.2507, val_acc=93.6200
Epoch 1: train_loss=0.1130, train_acc=98.0215, val_loss=0.0414, val_acc=98.8904
Epoch 0: train_loss=0.8183, train_acc=82.5408, val_loss=0.1493, val_acc=95.4230
